gene_id	fraction_samples
ENSG00000066185.13	1.0
ENSG00000066230.12	1.0
ENSG00000066248.15	0.9875
ENSG00000066279.19	0.9875
ENSG00000066294.15	1.0
ENSG00000066322.15	1.0
ENSG00000066336.13	1.0
ENSG00000066379.15	1.0
ENSG00000066382.17	1.0
ENSG00000066405.13	0.9375
ENSG00000066422.7	1.0
ENSG00000066427.25	1.0
ENSG00000066455.13	1.0
ENSG00000066468.24	1.0
ENSG00000066557.6	1.0
ENSG00000066583.12	1.0
ENSG00000066629.19	1.0
ENSG00000066651.20	1.0
ENSG00000066654.14	1.0
ENSG00000066697.15	1.0
ENSG00000066735.16	1.0
ENSG00000066739.12	1.0
ENSG00000066777.9	1.0
ENSG00000066827.16	1.0
ENSG00000066855.16	1.0
ENSG00000066923.19	1.0
ENSG00000066926.13	1.0
ENSG00000066933.17	1.0
ENSG00000067048.17	0.95
ENSG00000067057.19	1.0
ENSG00000067064.13	1.0
ENSG00000067066.17	1.0
ENSG00000067082.15	1.0
ENSG00000067113.17	1.0
ENSG00000067141.17	1.0
ENSG00000067167.8	1.0
ENSG00000067177.15	1.0
ENSG00000067182.9	1.0
ENSG00000067191.17	1.0
ENSG00000067208.17	1.0
ENSG00000067221.14	1.0
ENSG00000067225.21	1.0
ENSG00000067248.11	1.0
ENSG00000067334.14	1.0
ENSG00000067365.15	1.0
ENSG00000067369.14	1.0
ENSG00000067445.22	1.0
ENSG00000067533.6	1.0
ENSG00000067560.14	1.0
ENSG00000067596.12	1.0
ENSG00000067606.17	1.0
ENSG00000067704.10	1.0
ENSG00000067715.15	1.0
ENSG00000067798.16	1.0
ENSG00000067829.20	1.0
ENSG00000067836.13	1.0
ENSG00000067840.13	1.0
ENSG00000067900.9	1.0
ENSG00000067955.15	1.0
ENSG00000067992.17	1.0
ENSG00000068001.14	1.0
ENSG00000068024.18	1.0
ENSG00000068028.18	1.0
ENSG00000068078.20	1.0
ENSG00000068079.8	1.0
ENSG00000068097.16	1.0
ENSG00000068120.15	1.0
ENSG00000068137.15	1.0
ENSG00000068305.19	1.0
ENSG00000068308.15	1.0
ENSG00000068323.17	1.0
ENSG00000068354.16	1.0
ENSG00000068366.21	1.0
ENSG00000068383.19	1.0
ENSG00000068394.11	1.0
